slug|word|part_of_speech|ipa|cefr|zipf|formula|thesis|short_definition|contrast_word|contrast_meaning|hook|domain|collocation_1|register_1|collocation_2|register_2|collocation_3|register_3|tags
engulf|engulf|verb|en-GULF · UK /ɪnˈɡʌlf/ · US /ɪnˈɡʌlf/|C1|3.10|surround completely until the smaller thing disappears inside|不是碰到，而是整個包進去。|表示火、浪、情緒或工作量把某人某物完全吞沒。|surround|包圍|像霧不是停在遠處，而是整條路和你自己都一起沒進去。|火勢描寫、情緒壓力與工作量|engulf the room|空間 / 敘事|engulfed in work|工作 / 日常|engulf the coastline|自然 / 新聞|吞沒,整個包住,surround,emotion,workload,verb,engulf
enrich|enrich|verb|en-RICH · UK /ɪnˈrɪtʃ/ · US /ɪnˈrɪtʃ/|C1|3.79|add something that deepens quality, not just quantity|不是多加一層而已，而是讓內容更有厚度。|表示使內容、土壤、經驗或理解變得更豐富。|improve|改善|像湯不是只加水，而是慢燉到味道真的進去。|學習內容、使用體驗與資料價值|enrich the dataset|資料 / 分析|enrich the discussion|會議 / 學習|enrich the soil|自然 / 科學|豐富,增加厚度,improve,data,learning,verb,enrich
entwine|entwine|verb|en-TWYNE · UK /ɪnˈtwaɪn/ · US /ɪnˈtwaɪn/|C2|2.67|twist together until the parts become hard to separate|不是並排，而是纏繞到彼此互相影響。|表示實物、情緒、命運或議題彼此交織。|intertwine|交織|像藤蔓爬過欄杆後，已經分不清哪根先開始在哪裡。|敘事關係、系統耦合與情緒描述|entwined histories|歷史 / 敘事|entwine the cables|硬體 / 維修|entwine with memory|文學 / 心理|交織,纏繞,intertwine,relationships,systems,verb,entwine
ethos|ethos|noun|EE-thos · UK /ˈiː.θɒs/ · US /ˈiː.θɑːs/|C2|2.83|the shared character and values that shape behavior|不是單一規則，而是一群人長期形成的整體氣質。|表示團體、文化或作品背後的核心精神與價值取向。|culture|文化|像你走進一個團隊，還沒看文件，就先感覺到他們怎麼對待彼此。|團隊文化、寫作風格與品牌精神|team ethos|組織 / 團隊|design ethos|設計 / 產品|academic ethos|教育 / 研究|精神氣質,共同價值,culture,team,design,noun,ethos
exacting|exacting|adjective|ig-ZAK-ting · UK /ɪɡˈzæk.tɪŋ/ · US /ɪɡˈzæk.tɪŋ/|C2|2.73|demanding a high standard down to the details|不是嚴格就好，而是要求細節到不能模糊帶過。|表示任務、標準或角色要求很高、很細。|demanding|要求高|像量測治具不是能用就好，而是每個誤差來源都得交代。|品質要求、專業訓練與精密工作|exacting standards|品質 / 管理|exacting work|專業 / 工程|exacting role|職涯 / 組織|要求細緻,高標準,demanding,quality,precision,adjective,exacting
extrapolate|extrapolate|verb|ek-STRAP-uh-layt · UK /ɪkˈstræp.ə.leɪt/ · US /ɪkˈstræp.ə.leɪt/|C2|2.92|project beyond known data by extending the pattern|不是亂猜，而是沿著已知趨勢往外推。|表示根據已有資料或模式推估未知區間。|predict|預測|像你先看到幾個座標點，接著把那條線往外延伸。|數據分析、科學推論與規劃預估|extrapolate from the data|分析 / 研究|extrapolate a trend|商業 / 市場|extrapolate beyond the sample|統計 / 實驗|外推,沿趨勢推估,predict,data,statistics,verb,extrapolate
facet|facet|noun|FAS-it · UK /ˈfæs.ət/ · US /ˈfæs.ət/|C1|3.18|one angled face that reveals part of the whole|不是零碎片段，而是整體的一個明確切面。|表示某事物的一個面向、側面或切角。|aspect|面向|像鑽石不同角面在光下輪流亮起，每一面都是真的，但不是全部。|問題拆解、設計分析與討論框架|key facet|分析 / 討論|another facet of the issue|寫作 / 研究|facet of the design|產品 / 評估|切面,面向,aspect,analysis,design,noun,facet
falter|falter|verb|FAWL-ter · UK /ˈfɒl.tər/ · US /ˈfɑːl.t̬ɚ/|C1|3.05|lose steadiness for a moment while moving forward|不是完全停下，而是推進過程突然不穩。|表示腳步、聲音、計畫或信心出現遲疑、搖晃。|hesitate|猶豫|像原本穩定走著，突然踩到不平的地方，腳下晃了一下。|語氣變化、計畫推進與情緒壓力|voice faltered|敘事 / 情緒|momentum faltered|工作 / 專案|falter under pressure|比喻 / 組織|失穩,遲疑,hesitate,momentum,pressure,verb,falter
ferment|ferment|noun|FUR-ment · UK /ˈfɜː.ment/ · US /ˈfɝː.ment/|C2|2.69|active inner agitation that may turn into change|不是表面安靜，而是底下其實正在發酵。|表示發酵作用，也可比喻思想、情緒或社會狀態在內部翻動。|unrest|動盪|像玻璃瓶看起來安靜，但裡面一直有細小氣泡在往上冒。|社會變動、創意醞釀與情緒張力|political ferment|社會 / 政治|creative ferment|創作 / 團隊|ferment of ideas|學習 / 討論|發酵,內部翻動,unrest,ideas,politics,noun,ferment
fidelity|fidelity|noun|fuh-DIL-uh-tee · UK /fɪˈdel.ə.ti/ · US /fɪˈdel.ə.t̬i/|C1|3.16|faithfulness to the source or original condition|不是只是像，而是盡量忠於原貌、原意或原信號。|表示忠實度、保真度，或對承諾保持忠誠。|accuracy|準確度|像影印不是看有沒有印出來，而是看細節有沒有保住。|音訊品質、模擬結果與人際承諾|high fidelity audio|音訊 / 工程|fidelity to the source|翻譯 / 創作|model fidelity|模擬 / 分析|保真,忠實度,accuracy,audio,modeling,noun,fidelity
finesse|finesse|noun|fih-NES · UK /fɪˈnes/ · US /fəˈnes/|C2|2.77|subtle skill that solves without brute force|不是硬實力壓過去，而是用巧勁把事情做漂亮。|表示細膩手腕、巧妙處理方式與優雅控制感。|skill|技巧|像不是用力推門，而是找到角度讓門自己順順打開。|談判手腕、介面細節與技術操作|with finesse|寫作 / 評論|design finesse|產品 / 設計|negotiation finesse|商業 / 溝通|巧勁,細膩手腕,skill,design,negotiation,noun,finesse
flourish|flourish|verb|FLUR-ish · UK /ˈflʌr.ɪʃ/ · US /ˈflɝː.ɪʃ/|C1|3.46|grow vigorously under conditions that suit you|不是單純活著，而是在合適環境裡旺盛地展開。|表示植物、人、作品或系統蓬勃發展。|thrive|茁壯|像盆栽不是撐著沒死，而是新葉一片片往外長。|個人成長、產品發展與生態狀態|flourish in the role|職涯 / 成長|flourish online|產品 / 社群|flourish under pressure|比喻 / 組織|蓬勃發展,茁壯,thrive,growth,role,verb,flourish
flux|flux|noun|FLUKS · UK /flʌks/ · US /flʌks/|C1|3.21|continuous change that prevents things from settling|不是變化一下，而是一直在變，所以定不下來。|表示持續流動、變動不定的狀態。|change|變化|像水面沒有一秒是同一個形狀，你很難在上面畫直線。|市場波動、系統狀態與人生轉折|in flux|日常 / 狀態|market flux|商業 / 財務|state of flux|組織 / 變革|持續變動,未定,change,market,transition,noun,flux
forge|forge|verb|FORJ · UK /fɔːdʒ/ · US /fɔːrdʒ/|C1|3.35|shape something durable through heat, pressure, and intent|不是隨手做出來，而是在壓力與反覆中鍛造出成形的東西。|表示鍛造金屬，也可比喻建立關係、身份或路徑。|build|建立|像金屬在火和槌之間反覆來回，最後才成為真正能用的刀。|關係建立、品牌形成與材料加工|forge a bond|人際 / 團隊|forge a path|職涯 / 成長|forge steel|材料 / 工程|鍛造,磨出形狀,build,relationships,materials,verb,forge
fragment|fragment|noun|FRAG-muhnt · UK /ˈfræɡ.mənt/ · US /ˈfræɡ.mənt/|C1|3.12|a broken-off piece that hints at a larger whole|不是完整單位，而是從整體掉出來的一小塊。|表示碎片、殘段，或資訊與記憶的不完整片段。|piece|片段|像地上那一角陶片，雖然很小，卻讓你猜到原本整個器物。|記憶描述、資料拆散與系統狀態|code fragment|軟體 / 文件|fragment of memory|敘事 / 心理|fragmented market|商業 / 市場|碎片,殘片,piece,memory,code,noun,fragment
galvanize|galvanize|verb|GAL-vuh-nyze · UK /ˈɡæl.və.naɪz/ · US /ˈɡæl.və.naɪz/|C2|2.95|jolt people into action with sudden energy|不是鼓勵一下，而是一下把人從靜止狀態電醒。|表示激勵、刺激，使人立刻採取行動。|motivate|激勵|像電流啪地一聲通過後，本來停著的東西開始動。|組織動員、社會事件與產品推進|galvanize the team|團隊 / 管理|galvanize support|政治 / 社群|galvanize action|產品 / 組織|激發行動,電醒,motivate,team,support,verb,galvanize
gradient|gradient|noun|GRAY-dee-uhnt · UK /ˈɡreɪ.di.ənt/ · US /ˈɡreɪ.di.ənt/|C1|3.09|a gradual shift from one level to another|不是分界線，而是中間有連續過渡。|表示坡度、濃淡變化，或數值、風格的漸層。|slope|坡度|像天空不是突然從藍變黑，而是一層一層慢慢沉下去。|視覺設計、數值變化與地形描述|color gradient|設計 / 視覺|temperature gradient|科學 / 工程|steep gradient|地形 / 比喻|漸層,坡度,slope,design,science,noun,gradient
grapple|grapple|verb|GRAP-uhl · UK /ˈɡræp.əl/ · US /ˈɡræp.əl/|C1|3.26|struggle directly with something difficult and important|不是想到就算，而是真的跟難題扭在一起。|表示努力處理、理解或對抗棘手問題。|struggle|奮力處理|像雙手抓住一個會反抗的東西，不鬆手也不閃開。|難題理解、價值衝突與工程除錯|grapple with the problem|工程 / 分析|grapple with grief|心理 / 敘事|grapple with uncertainty|決策 / 管理|苦苦處理,正面扭打,struggle,debug,uncertainty,verb,grapple
gravitate|gravitate|verb|GRAV-uh-tayt · UK /ˈɡræv.ɪ.teɪt/ · US /ˈɡræv.ə.teɪt/|C1|3.31|drift naturally toward what exerts a pull on you|不是被命令移動，而是被某種吸引力慢慢拉過去。|表示人自然地偏向某種選擇、風格或群體。|drift|慢慢靠近|像鐵粉在磁場裡不需要喊口令，也會自己排出方向。|使用者偏好、社交聚集與職涯選擇|gravitate toward simple tools|產品 / 使用者|gravitate to the window|日常 / 空間|gravitate toward certainty|心理 / 決策|自然靠攏,被吸引,drift,preference,decision,verb,gravitate
heed|heed|verb|HEED · UK /hiːd/ · US /hiːd/|C1|3.18|pay real attention and act on the warning|不是聽到而已，而是真的把提醒放進行動裡。|表示留意、重視並聽從警告或建議。|listen|聽|像警示燈亮起來後，你不是看一眼就走，而是真的停下來處理。|安全提醒、建議採納與風險控制|heed the warning|安全 / 日常|heed advice|成長 / 工作|heed the signal|工程 / 系統|留意並採取動作,重視提醒,listen,safety,advice,verb,heed
impromptu|impromptu|adjective|im-PROMP-too · UK /ɪmˈprɒmp.tjuː/ · US /ɪmˈprɑːmp.tuː/|C1|3.11|done on the spot without prior setup|不是隨便，而是沒有事先準備卻立刻成形。|表示即興、臨時起意、當場發生。|spontaneous|自發|像原本沒打算演講，但話題一來，你就站起來說了。|臨時會議、即席表達與現場決策|impromptu meeting|工作 / 日常|impromptu speech|簡報 / 表達|impromptu fix|工程 / 現場|即興,臨時起意,spontaneous,meeting,speech,adjective,impromptu
inception|inception|noun|in-SEP-shuhn · UK /ɪnˈsep.ʃən/ · US /ɪnˈsep.ʃən/|C1|3.16|the starting moment when something begins to exist|不是背景，而是事情真正被啟動的起點。|表示開始、創始、發端。|beginning|開始|像按下電源鍵那一瞬間，整套流程從無到有被喚醒。|專案起始、制度成立與故事開端|since inception|商業 / 專案|inception of the idea|創作 / 學習|at the inception|敘事 / 分析|起點,發端,beginning,project,origin,noun,inception
incline|incline|verb|in-KLYNE · UK /ɪnˈklaɪn/ · US /ɪnˈklaɪn/|C1|3.47|lean or tend in a certain direction|不是已經決定，而是心裡或物理上開始往某個方向斜過去。|表示使傾斜，或傾向於某個判斷與選擇。|lean|傾向|像桌上的筆慢慢朝邊緣滾，不用推也看得出方向。|決策偏好、物理角度與語氣取向|incline to agree|會議 / 判斷|incline the board|硬體 / 結構|incline toward caution|管理 / 風險|傾向,微微偏向,lean,decision,structure,verb,incline
intricate|intricate|adjective|IN-trih-kit · UK /ˈɪn.trɪ.kət/ · US /ˈɪn.trə.kət/|C1|3.22|made of many interlocking fine details|不是複雜到亂，而是細節彼此扣得很緊。|表示結構、圖案或問題由許多細小關聯構成。|complex|複雜|像鐘錶裡一層層齒輪貼得很近，少看一顆就會誤解整體。|系統結構、工藝細節與問題分析|intricate mechanism|工程 / 機構|intricate pattern|設計 / 視覺|intricate issue|分析 / 討論|繁複細密,細節互扣,complex,mechanism,analysis,adjective,intricate
invoke|invoke|verb|in-VOHK · UK /ɪnˈvəʊk/ · US /ɪnˈvoʊk/|C1|3.29|call something in so it becomes active or relevant|不是隨口提到，而是把規則、情緒或函式真的叫進場。|表示援引、喚起、調用某個力量、原則或程式。|call|呼叫|像你按下函式名後，後面的整段能力一起被叫醒。|程式呼叫、法律援引與情緒喚起|invoke the function|軟體 / 程式|invoke a rule|法規 / 制度|invoke sympathy|敘事 / 修辭|調用,援引,call,software,law,verb,invoke
lament|lament|verb|luh-MENT · UK /ləˈment/ · US /ləˈment/|C1|3.06|speak grief out loud with lingering weight|不是抱怨，而是帶著失落和哀感去說。|表示哀悼、惋惜，或沉重地感嘆某種失去。|mourn|哀悼|像房間裡沒有大哭，但每句話都帶著往回看的重量。|失落表達、時代評論與敘事語氣|lament the loss|情緒 / 敘事|lament the decline|評論 / 社會|lament missed chances|人生 / 反思|哀嘆,惋惜,mourn,loss,reflection,verb,lament
leverage|leverage|verb|LEV-er-ij · UK /ˈliː.vər.ɪdʒ/ · US /ˈlev.ɚ.ɪdʒ/|C1|3.82|use an existing advantage to multiply effect|不是有資源就好，而是把那個支點用出更大的力。|表示善用資源、位置、資料或關係來擴大效果。|use|使用|像用撬棍時力量沒有變大，但你有了更好的施力角度。|商業策略、資料運用與個人優勢|leverage the data|分析 / 產品|leverage existing tools|工程 / 工作|leverage your network|職涯 / 商業|善用支點,放大效果,use,data,strategy,verb,leverage
linger|linger|verb|LING-ger · UK /ˈlɪŋ.ɡər/ · US /ˈlɪŋ.ɡɚ/|C1|3.33|remain longer than expected after the main moment passes|不是沒走，而是該散的東西還留在空氣裡。|表示停留、拖延，或某種感覺與影響久久不散。|remain|停留|像咖啡喝完了，香氣卻還掛在杯子附近。|餘味描寫、介面感受與情緒延續|linger in the air|敘事 / 感官|lingering doubt|心理 / 分析|linger on the page|閱讀 / 設計|餘留,久久不散,remain,emotion,reading,verb,linger
manifold|manifold|adjective|MAN-uh-fohld · UK /ˈmæn.ɪ.fəʊld/ · US /ˈmæn.ə.foʊld/|C2|2.63|appearing in many forms or manyfold directions|不是很多而已，而是多到呈現多面、多重層次。|表示種類繁多、形式多樣、層面不只一個。|multiple|多個|像不是一條岔路，而是一整片路網往不同方向展開。|問題來源、應用場景與效益描述|manifold reasons|分析 / 論證|manifold uses|產品 / 設計|manifold effects|研究 / 評估|多面多重,multiple,reasons,effects,adjective,manifold
momentum|momentum|noun|moh-MEN-tuhm · UK /məˈmen.təm/ · US /moʊˈmen.t̬əm/|C1|3.96|carried movement that becomes easier once it is already rolling|不是速度本身，而是動起來之後繼續往前的帶勁。|表示物理上的動量，也常比喻進展正在累積推力。|progress|進展|像球一旦滾過某個點，後面就不是每一步都要重新推。|專案推進、學習習慣與市場熱度|build momentum|專案 / 成長|lose momentum|工作 / 分析|regain momentum|組織 / 策略|動能,帶勁,progress,project,growth,noun,momentum
murky|murky|adjective|MUR-kee · UK /ˈmɜː.ki/ · US /ˈmɝː.ki/|C1|3.05|clouded so that shape, motive, or truth stays unclear|不是神祕，而是混濁到看不清。|表示水、資訊、動機或局勢不清楚、難以辨認。|unclear|不清楚|像池水被泥攪起來後，你知道東西還在底下，卻看不到輪廓。|需求不明、資訊品質與道德灰區|murky details|需求 / 分析|murky motives|評論 / 敘事|murky water|自然 / 感官|混濁不清,看不透,unclear,requirements,motives,adjective,murky
navigate|navigate|verb|NAV-uh-gayt · UK /ˈnæv.ɪ.ɡeɪt/ · US /ˈnæv.ə.ɡeɪt/|B2|4.02|find a workable route through complexity|不是移動而已，而是在障礙和分岔中找到路。|表示航行、操作介面，或比喻在複雜局勢中穿行。|move|移動|像地圖不是把路變平，而是讓你知道下一步該往哪裡切。|介面操作、組織流程與人生抉擇|navigate the menu|介面 / 軟體|navigate uncertainty|管理 / 決策|navigate the process|工作 / 制度|穿越複雜路徑,找路,move,interface,decision,verb,navigate
opaque|opaque|adjective|oh-PAYK · UK /əʊˈpeɪk/ · US /oʊˈpeɪk/|C1|3.21|blocking light or understanding from passing through|不是深奧而已，而是你根本看不進去。|表示不透明，或制度、說法缺乏可理解性。|unclear|不透明或不清楚|像玻璃不是起霧而已，而是整塊被塗白，裡面發生什麼完全看不到。|權限機制、決策流程與視覺材質|opaque process|組織 / 制度|opaque material|材料 / 視覺|opaque explanation|溝通 / 分析|不透明,看不進去,unclear,process,material,adjective,opaque
outlier|outlier|noun|OUT-ly-er · UK /ˈaʊt.laɪ.ər/ · US /ˈaʊt.laɪ.ɚ/|C1|3.09|a point that sits far away from the main cluster|不是特例就算，而是離群到會改變你怎麼看整組資料。|表示離群值、異常案例，或不符合主流分布的人事物。|exception|例外|像一整排點都聚在中間，只有一個點遠遠站在角落。|統計分析、使用者研究與案例討論|detect outliers|資料 / 分析|outlier behavior|產品 / 使用者|treat as an outlier|研究 / 討論|離群值,特異點,exception,statistics,user-research,noun,outlier
overhaul|overhaul|verb|OH-ver-hawl · UK /ˌəʊ.vəˈhɔːl/ · US /ˌoʊ.vɚˈhɑːl/|C1|3.27|take apart and rebuild so the system truly works again|不是修一下，而是從骨架層級重整。|表示徹底檢修、翻新或大幅改革。|repair|修理|像機器不是擦乾淨就上線，而是整個拆開重新校整。|流程改革、機構維修與產品重做|overhaul the process|管理 / 流程|overhaul the engine|機械 / 工程|overhaul the design|產品 / 設計|大修,徹底翻新,repair,process,design,verb,overhaul
palpable|palpable|adjective|PAL-puh-buhl · UK /ˈpæl.pə.bəl/ · US /ˈpæl.pə.bəl/|C2|2.84|so strong that you can almost touch it|不是抽象感覺，而是濃到像碰得到。|表示情緒、張力或存在感非常明顯、可感。|obvious|明顯|像房間裡的緊張不是想像出來的，而是你一進去就貼在皮膚上。|情緒張力、現場氛圍與寫作描寫|palpable tension|敘事 / 情緒|palpable relief|日常 / 感受|palpable excitement|活動 / 場景|可感強烈,幾乎摸得到,obvious,tension,emotion,adjective,palpable
plateau|plateau|noun|pla-TOH · UK /ˈplæt.əʊ/ · US /plæˈtoʊ/|C1|3.17|a flat stage where growth stops climbing for a while|不是失敗，而是先到了沒有再往上的平台。|表示高原，也可比喻成長或數值進入停滯平臺。|stall|停滯|像線圖原本一路往上，突然拉出一段長長的平線。|學習成長、數據趨勢與訓練狀態|hit a plateau|成長 / 學習|performance plateau|工作 / 運動|sales plateau|商業 / 分析|平台期,停滯平臺,stall,growth,performance,noun,plateau
potent|potent|adjective|POH-tuhnt · UK /ˈpəʊ.tənt/ · US /ˈpoʊ.t̬ənt/|C1|3.26|small in size perhaps, but strong in effect|不是大，而是效力強。|表示藥物、論點、象徵或情緒具有強大作用力。|powerful|強大|像一小滴染料進水後，整杯顏色都變了。|藥效描述、論點力度與象徵力量|potent drug|醫療 / 科學|potent argument|論證 / 評論|potent symbol|文化 / 敘事|效力強,作用大,powerful,argument,medicine,adjective,potent
prescient|prescient|adjective|PRESH-uhnt · UK /ˈpres.i.ənt/ · US /ˈpreʃ.ənt/|C2|2.72|seeing the future shape before others can|不是猜中而已，而是提早看見某個趨勢正在形成。|表示有先見之明，能預見後來會發生的事。|foresighted|有前瞻性|像天還沒變色，你已經先聞到雨要來的味道。|策略判斷、評論回看與產品方向|prescient warning|策略 / 風險|prescient essay|評論 / 寫作|prescient design choice|產品 / 決策|先見之明,提早看見,foresighted,strategy,writing,adjective,prescient
prudent|prudent|adjective|PROO-duhnt · UK /ˈpruː.dənt/ · US /ˈpruː.dənt/|C1|3.41|careful because the future cost is being considered|不是膽小，而是把後果算進去後選擇穩健。|表示謹慎、審慎，會考量長期結果。|careful|小心|像你不是因為怕走路，而是先確認橋面承重再過去。|風險管理、財務安排與決策品質|prudent choice|決策 / 日常|prudent spending|財務 / 管理|prudent safeguard|工程 / 風險|審慎,穩健小心,careful,finance,risk,adjective,prudent
ripple|ripple|noun|RIP-uhl · UK /ˈrɪp.əl/ · US /ˈrɪp.əl/|C1|3.23|a small wave that spreads its effect outward|不是大浪，而是一個點動了之後一圈圈往外傳。|表示水波紋，也常比喻影響逐步擴散。|wave|波動|像石子落水後，那一圈圈推開去的細線。|影響擴散、介面回饋與系統效應|ripple effect|分析 / 商業|ripple through the team|組織 / 文化|small ripple on the screen|視覺 / 介面|波紋,擴散效應,wave,effect,ui,noun,ripple
scaffold|scaffold|noun|SKAF-ohld · UK /ˈskæf.əʊld/ · US /ˈskæf.oʊld/|C1|3.04|temporary structure that helps something bigger take shape|不是成品，而是幫你先把成品撐起來的架子。|表示施工鷹架，也可比喻學習或設計中的暫時支撐。|support|支撐|像建築還沒長好前，外面先套了一層能讓它繼續往上的骨架。|學習引導、前端結構與系統遷移|scaffold the lesson|教學 / 學習|temporary scaffold|工程 / 建築|scaffold for migration|系統 / 重構|鷹架,暫時支撐,support,learning,migration,noun,scaffold
sparse|sparse|adjective|SPARS · UK /spɑːs/ · US /spɑːrs/|C1|3.19|spread thinly with a lot of empty space between|不是少而已，而是少到間距明顯拉開。|表示資料、植被、文字或資源分布稀疏。|thin|稀薄|像夜空不是沒星星，而是星與星之間空得很大。|資料樣本、視覺排版與資源分布|sparse data|分析 / 研究|sparse interface|設計 / 介面|sparse vegetation|自然 / 地理|稀疏,間距很大,thin,data,design,adjective,sparse
supplant|supplant|verb|suh-PLANT · UK /səˈplɑːnt/ · US /səˈplænt/|C2|2.81|take the place of something by replacing it in function or status|不是並存，而是新的東西把舊的位置接走。|表示取代、替換，使原本的事物失去原位。|replace|取代|像新零件裝上去後，舊零件不是旁邊備用，而是正式退場。|技術演進、制度替換與產品競爭|supplant the legacy system|系統 / 架構|supplant older methods|研究 / 工作|supplant the incumbent|市場 / 商業|取代,接走位置,replace,systems,competition,verb,supplant
tether|tether|verb|TETH-er · UK /ˈteð.ər/ · US /ˈteð.ɚ/|C1|3.14|keep something connected so it cannot drift too far|不是完全鎖死，而是留一條線讓它不要跑遠。|表示用繩索拴住，也可比喻把想法或功能綁定在基準上。|tie|綁住|像風箏可以飛，但一定有一條線把它拉回來。|網路分享、設計約束與概念基準|tether the device|硬體 / 連線|tether to reality|評論 / 分析|tether the feature to the use case|產品 / 設計|拴住,保留連結,tie,connectivity,design,verb,tether
unravel|unravel|verb|un-RAV-uhl · UK /ʌnˈræv.əl/ · US /ʌnˈræv.əl/|C1|3.24|come apart thread by thread until the hidden structure shows|不是一下爆開，而是一絲一絲鬆掉。|表示拆開、解開，也常比喻謎團或計畫逐步瓦解或被看穿。|undo|解開|像毛線頭被拉住後，整團不是立刻消失，而是一圈圈鬆出來。|除錯追因、敘事揭露與關係崩解|unravel the mystery|敘事 / 推理|unravel the bug|工程 / 除錯|plans began to unravel|工作 / 組織|拆解,一絲絲鬆開,undo,debug,mystery,verb,unravel
